"component","origin","license","copyright"
"Jinja2","https://github.com/pallets/jinja","['BSD-3-Clause']","['Pallets']"
"Markdown","https://github.com/Python-Markdown/markdown","['BSD-3-Clause']","['Manfred Stienstra', 'Yuri Takhteyev']"
"MarkupSafe","https://github.com/pallets/markupsafe","['BSD-3-Clause']","['Pallets']"
"PyYAML","https://github.com/yaml/pyyaml","['MIT']","['Kirill Simonov']"
"Pygments","https://github.com/pygments/pygments","['BSD-2-Clause']","['Georg Brandl <georg@python.org>']"
"Send2Trash","https://github.com/arsenetar/send2trash","['BSD License']","['Andrew Senetar']"
"Werkzeug","https://github.com/pallets/werkzeug","['BSD-3-Clause']","['Pallets']"
"absl-py","https://github.com/abseil/abseil-py","['Apache-2.0']","['The Abseil Authors']"
"aioboto3","https://github.com/terricain/aioboto3","['Apache-2.0']","['Nikolai Novik']"
"aiobotocore","https://github.com/aio-libs/aiobotocore","['Apache License 2.0']","['Nikolay Novik']"
"aiohappyeyeballs","https://github.com/aio-libs/aiohappyeyeballs","['PSF-2.0']","['J. Nick Koston']"
"aiohttp","https://github.com/aio-libs/aiohttp","['Apache-2.0 AND MIT']","['aio-libs contributors']"
"aioitertools","https://github.com/omnilib/aioitertools","['MIT']","['Amethyst Reese']"
"aiosignal","https://github.com/aio-libs/aiosignal","['Apache 2.0']","['Nikolay Kim and Andrew Svetlov']"
"annotated-types","https://github.com/annotated-types/annotated-types","['MIT']","['the contributors']"
"anyio","https://github.com/agronholm/anyio","['MIT']","['Alex Grönholm']"
"appnope","https://github.com/minrk/appnope","['BSD']","['Min Ragan-Kelley']"
"argon2-cffi","https://github.com/hynek/argon2-cffi","['MIT']","['Hynek Schlawack']"
"argon2-cffi-bindings","https://github.com/hynek/argon2-cffi-bindings","['MIT']","['Hynek Schlawack']"
"arrow","https://github.com/arrow-py/arrow","['Apache-2.0']","['Chris Smith']"
"asttokens","https://github.com/gristlabs/asttokens","['Apache 2.0']","['Dmitry Sagalovskiy', 'Grist Labs']"
"async-lru","https://github.com/aio-libs/async-lru","['MIT License']","['Ocean S. A.', 'WikiBusiness Corporation', 'aio-libs team']"
"attrs","https://github.com/python-attrs/attrs","['MIT']","['Hynek Schlawack']"
